Código SNISB,Nome da Barragem,Capacidade (hm3),Classe de Capacidade,Altura Acima da Fundação (m),Classe de Altura,Altura Acima do Terreno (m),Município,UF,Uso Principal,Espelho D'água,Fiscalizador,Latitude,Longitude,Categoria de Risco,Classe de DPA,Latitude (Graus),Longitude (Graus),ESRI_OID,x,y
2497,BARRAMENTO BR-02,0.10500000000000001,V < 3 hm³,,h < 10 m,8.05,PALMARES PAULISTA,SP,Regularização de vazão,,DAEE/SP,"21º08'18.0""S","48º49'39.0""W",Não Classificado,Não Classificado,-21.1385,-48.8276388889,105,-48.82763888899996,-21.138499999999965
2496,BARRAMENTO BR-04,0.332,V < 3 hm³,,h < 10 m,8.120000000000001,PALMARES PAULISTA,SP,Regularização de vazão,,DAEE/SP,"21º07'6.0""S","48º49'57.0""W",Não Classificado,Não Classificado,-21.1183472222,-48.8326666667,106,-48.832666666999955,-21.118347221999954
2495,Barramento 01,0.327,V < 3 hm³,,h < 10 m,6,CATANDUVA,SP,Regularização de vazão,,DAEE/SP,"21º05'49.0""S","48º58'53.0""W",Não Classificado,Não Classificado,-21.0969722222,-48.981444444400005,110,-48.981444443999976,-21.096972221999977
2494,BARRAMENTO 1,0.5690000000000001,V < 3 hm³,,10 m < h < 15 m,13,VISTA ALEGRE DO ALTO,SP,Regularização de vazão,Represa Usina Nardini,DAEE/SP,"21º11'37.0""S","48º39'54.0""W",Não Classificado,Não Classificado,-21.1937777778,-48.6651388889,104,-48.665138888999934,-21.19377777799997
2493,Represa Severínia B,0.309,V < 3 hm³,,h < 10 m,9,SEVERÍNIA,SP,Regularização de vazão,Represa Usina Severínia,DAEE/SP,"20º49'32.0""S","48º49'43.0""W",Não Classificado,Não Classificado,-20.8256944444,-48.8288055556,109,-48.82880555599996,-20.825694443999964
2492,Represa Usina Severínia A,0.337,V < 3 hm³,,h < 10 m,8.75,SEVERÍNIA,SP,Regularização de vazão,Represa Usina Severínia,DAEE/SP,"20º49'22.0""S","48º49'39.0""W",Não Classificado,Não Classificado,-20.8229722222,-48.8275,108,-48.827499999999986,-20.822972221999976
2491,Barramento UNIVALEM,3.265,3 hm³ < V < 75 hm³,,h < 10 m,7.11,VALPARAÍSO,SP,Regularização de vazão, ,DAEE/SP,"21º19'27.0""S","50º56'43.0""W",Não Classificado,Não Classificado,-21.3244444444,-50.9452777778,116,-50.945277777999934,-21.324444443999937
2490,Barramento 1,0.642,V < 3 hm³,,h < 10 m,8.5,PENÁPOLIS,SP,Regularização de vazão,,DAEE/SP,"21º28'51.0""S","50º07'12.0""W",Não Classificado,Não Classificado,-21.4811111111,-50.120000000000005,115,-50.11999999999995,-21.48111111099996
2489,Barramento Ribeirão dos Patos 2,0.68,V < 3 hm³,,h < 10 m,5,PROMISSÃO,SP,Regularização de vazão,,DAEE/SP,"21º37'35.0""S","49º52'19.0""W",Não Classificado,Não Classificado,-21.6263888889,-49.8722222222,113,-49.87222222199995,-21.62638888899994
2488,Represa Usina Fortaleza,1.74,V < 3 hm³,,10 m < h < 15 m,14.5,SEVERÍNIA,SP,Regularização de vazão, ,DAEE/SP,"20º50'54.0""S","48º50'5.0""W",Não Classificado,Não Classificado,-20.8486111111,-48.8348055556,107,-48.834805555999935,-20.84861111099997
2487,Barramento Ribeirão dos Patos 1,1.42,V < 3 hm³,,h < 10 m,7,PROMISSÃO,SP,Regularização de vazão,,DAEE/SP,"21º36'56.0""S","49º52'18.0""W",Não Classificado,Não Classificado,-21.6158333333,-49.8716666667,114,-49.87166666699994,-21.615833332999955
2921,NOVA III,0.038,V < 3 hm³,5,h < 10 m,5,ALMAS,TO,Aquicultura,,Naturatins,"11º29'2.0""S","47º08'46.0""W",Não Classificado,Não Classificado,-11.4839722222,-47.1463611111,919,-47.146361110999976,-11.483972221999977
2920,Barragem Nicola Vicenzo,0.099,V < 3 hm³,10.5,10 m < h < 15 m,10.5,CAMPO ALEGRE DE GOIÁS,GO,Irrigação,,SECIMA/GO,"17º18'27.0""S","47º44'33.0""W",Não Classificado,Não Classificado,-17.3076944444,-47.7427222222,550,-47.74272222199994,-17.307694443999935
2919,NOVA II,0.021,V < 3 hm³,5,h < 10 m,5,ALMAS,TO,Aquicultura,,Naturatins,"11º28'45.0""S","47º08'42.0""W",Não Classificado,Não Classificado,-11.479194444400001,-47.1452222222,917,-47.14522222199997,-11.479194443999972
2918,NOVA I,0.014,V < 3 hm³,4,h < 10 m,4,ALMAS,TO,Aquicultura,,Naturatins,"11º28'57.0""S","47º09'.0""W",Não Classificado,Não Classificado,-11.48275,-47.150138888899995,918,-47.15013888899995,-11.482749999999953
2931,Rei do Peixe,0.085,V < 3 hm³,5,h < 10 m,5,PORTO NACIONAL,TO,Aquicultura,,Naturatins,"10º30'29.0""S","48º39'2.0""W",Não Classificado,Não Classificado,-10.5080833333,-48.6508333333,891,-48.65083333299998,-10.508083332999945
2930,POUSO ALTO I,0.01,V < 3 hm³,3.5,h < 10 m,3.5,TAIPAS DO TOCANTINS,TO,Dessedentação Animal,,Naturatins,"12º05'24.0""S","46º55'5.0""W",Não Classificado,Não Classificado,-12.09,-46.918055555600006,735,-46.918055555999956,-12.089999999999975
2929,Barragem Pequena,0.037000000000000005,V < 3 hm³,4,h < 10 m,2.5,CAMPO ALEGRE DE GOIÁS,GO,Regularização de vazão,,SECIMA/GO,"17º13'48.0""S","47º46'30.0""W",Não Classificado,Não Classificado,-17.23,-47.775000000000006,548,-47.77499999999998,-17.22999999999996
2928,Barragem Shuichi Hayashi,0.11,V < 3 hm³,5,h < 10 m,5,CAMPO ALEGRE DE GOIÁS,GO,Irrigação,,SECIMA/GO,"17º12'41.0""S","47º45'56.0""W",Não Classificado,Não Classificado,-17.2115,-47.7656666667,546,-47.76566666699995,-17.211499999999944
2927,Barragem Mario Tanabe 2,0.188,V < 3 hm³,9,h < 10 m,7,CRISTALINA,GO,Regularização de vazão,,SECIMA/GO,"17º03'5.0""S","47º25'8.0""W",Não Classificado,Não Classificado,-17.0515555556,-47.41888888890001,535,-47.41888888899996,-17.051555555999983
2925,Barragem Cristalina Minera&#65533;&#65533;,0.006,V < 3 hm³,7,h < 10 m,7,CRISTALINA,GO,Industrial,,SECIMA/GO,"16º49'34.0""S","47º34'41.0""W",Não Classificado,Não Classificado,-16.8263611111,-47.5781111111,524,-47.57811111099994,-16.826361110999926
2923,Barragem Sebasti&#65533;o de Andrade,0.53,V < 3 hm³,16,10 m < h < 15 m,13,CRISTALINA,GO,Irrigação,,SECIMA/GO,"16º16'32.0""S","47º26'35.0""W",Não Classificado,Não Classificado,-16.2755555556,-47.4433333333,625,-47.44333333299994,-16.275555555999972
2899,Barreira de Sal III,0.727,V < 3 hm³,4.5,h < 10 m,4.5,DIVINÓPOLIS DO TOCANTINS,TO,Dessedentação Animal,,Naturatins,"09º40'5.0""S","49º26'5.0""W",Não Classificado,Não Classificado,-9.6681111111,-49.4348055556,886,-49.43480555599996,-9.668111110999973
2897,Barreira de Sal I,0.675,V < 3 hm³,6,h < 10 m,6,DIVINÓPOLIS DO TOCANTINS,TO,Dessedentação Animal,,Naturatins,"09º38'56.0""S","49º25'36.0""W",Não Classificado,Não Classificado,-9.648944444400001,-49.4268333333,885,-49.426833332999934,-9.648944443999937
2895,Chacara MG,0.22,V < 3 hm³,6,h < 10 m,6,PORTO ALEGRE DO TOCANTINS,TO,Aquicultura,,Naturatins,"11º30'9.0""S","47º02'4.0""W",Não Classificado,Não Classificado,-11.5026111111,-47.0345833333,920,-47.034583332999944,-11.502611110999965
2892,Barragem Ildeu Alvares,0.4,V < 3 hm³,18,15 m < h < 30 m,16,CRISTALINA,GO,Regularização de vazão,,SECIMA/GO,"16º34'19.0""S","47º31'54.0""W",Não Classificado,Não Classificado,-16.5719722222,-47.5318888889,519,-47.53188888899996,-16.571972221999943
2471,Barragem Buraco Copebrás,65,3 hm³ < V < 75 hm³,80,70 m < h < 100 m,80,CATALÃO,GO,Industrial,Barragem de Rejeito Mineração Catalão,SECIMA/GO,"18º09'55.0""S","47º50'39.0""W",Não Classificado,Não Classificado,-18.1652777778,-47.844166666700005,447,-47.84416666699997,-18.16527777799996
2470,Barragem Morang,0.42500000000000004,V < 3 hm³,11,10 m < h < 15 m,11,JUSSARA,GO,Irrigação,,SECIMA/GO,"15º34'10.0""S","51º15'.0""W",Não Classificado,Não Classificado,-15.5695833333,-51.2500555556,604,-51.25005555599995,-15.569583332999969
2469,Barragem 2 Elcemar Caixeta,0.037000000000000005,V < 3 hm³,5,h < 10 m,5,VIANÓPOLIS,GO,Irrigação,,SECIMA/GO,"16º45'9.0""S","48º26'12.0""W",Não Classificado,Não Classificado,-16.7525833333,-48.436749999999996,434,-48.43674999999996,-16.75258333299996
2466,Barragem Elcemar Caixeta,0.051000000000000004,V < 3 hm³,8,h < 10 m,8,VIANÓPOLIS,GO,Irrigação,,SECIMA/GO,"16º44'18.0""S","48º24'57.0""W",Não Classificado,Não Classificado,-16.7385277778,-48.415944444400004,433,-48.41594444399993,-16.738527777999934
2464,Barragem Jerônimo Maia de Mendonça,0.01,V < 3 hm³,4.3,h < 10 m,4.3,CALDAS NOVAS,GO,Irrigação,,SECIMA/GO,"17º38'.0""S","48º50'7.0""W",Não Classificado,Não Classificado,-17.6335833333,-48.8353055556,40,-48.83530555599998,-17.633583332999933
2463,Barragem Paula Abreu Barcellos,0.012,V < 3 hm³,3,h < 10 m,3,BOM JESUS DE GOIÁS,GO,Recreação,,SECIMA/GO,"18º14'12.0""S","49º34'49.0""W",Não Classificado,Não Classificado,-18.2368888889,-49.5805,57,-49.58049999999997,-18.236888888999943
2462,Barragem B1 Clayton César da Silva,0.35200000000000004,V < 3 hm³,4,h < 10 m,4,JUSSARA,GO,Irrigação,,SECIMA/GO,"15º17'.0""S","51º32'33.0""W",Não Classificado,Não Classificado,-15.283555555600001,-51.5426944444,592,-51.54269444399995,-15.283555555999953
2891,Barragem Dario Turra,0.6940000000000001,V < 3 hm³,13.5,10 m < h < 15 m,11.5,CRISTALINA,GO,Regularização de vazão,UHE Batalha,SECIMA/GO,"17º13'18.0""S","47º25'46.0""W",Não Classificado,Não Classificado,-17.2219444444,-47.429500000000004,547,-47.42949999999996,-17.221944443999973
2890,Barragem B19,0.07100000000000001,V < 3 hm³,5,h < 10 m,5,CRISTALINA,GO,Irrigação,,SECIMA/GO,"16º18'51.0""S","47º35'56.0""W",Não Classificado,Não Classificado,-16.3141666667,-47.599000000000004,630,-47.59899999999993,-16.314166666999938
2889,Barragem B1,0.032,V < 3 hm³,4,h < 10 m,4,CATALÃO,GO,Dessedentação Animal,,SECIMA/GO,"17º38'10.0""S","47º29'10.0""W",Não Classificado,Não Classificado,-17.6361388889,-47.4863611111,562,-47.48636111099995,-17.636138888999938
2888,Barragem B2,0.022000000000000002,V < 3 hm³,4,h < 10 m,4,CATALÃO,GO,Dessedentação Animal,,SECIMA/GO,"17º38'8.0""S","47º29'17.0""W",Não Classificado,Não Classificado,-17.6356944444,-47.488138888900004,561,-47.48813888899997,-17.635694443999967
2887,Barragem Albino Perin,1.063,V < 3 hm³,10,h < 10 m,8.5,CRISTALINA,GO,Irrigação,,SECIMA/GO,"16º27'.0""S","47º27'18.0""W",Não Classificado,Não Classificado,-16.4501388889,-47.4551666667,513,-47.45516666699996,-16.45013888899996
2886,ATS - Brejo Comprido,0.006,V < 3 hm³,3.5,h < 10 m,3.5,SILVANÓPOLIS,TO,Dessedentação Animal,,Naturatins,"11º06'26.0""S","47º52'59.0""W",Não Classificado,Não Classificado,-11.1073055556,-47.883277777800004,903,-47.88327777799998,-11.107305555999972
2885,ATS - Bandeira,0.008,V < 3 hm³,3.5,h < 10 m,3.5,SANTA ROSA DO TOCANTINS,TO,Dessedentação Animal,,Naturatins,"11º14'4.0""S","47º52'31.0""W",Não Classificado,Não Classificado,-11.2345277778,-47.875388888900005,910,-47.875388888999964,-11.234527777999972
2884,SÃO LUIS I,0.152,V < 3 hm³,6.5,h < 10 m,6.5,CRISTALÂNDIA,TO,Dessedentação Animal,,Naturatins,"10º42'29.0""S","49º03'15.0""W",Não Classificado,Não Classificado,-10.708055555600001,-49.054166666700006,894,-49.05416666699995,-10.708055555999977
2879,ATS 46 - GREGÓRIO II,0.005,V < 3 hm³,3.5,h < 10 m,3.5,SILVANÓPOLIS,TO,Dessedentação Animal,,Naturatins,"11º13'35.0""S","47º58'52.0""W",Não Classificado,Não Classificado,-11.2266388889,-47.981166666700005,907,-47.98116666699997,-11.226638888999958
2878,ATS - Barrinha,0.023,V < 3 hm³,3,h < 10 m,3,SILVANÓPOLIS,TO,Dessedentação Animal,,Naturatins,"11º09'42.0""S","47º51'33.0""W",Não Classificado,Não Classificado,-11.1618333333,-47.8593611111,905,-47.85936111099994,-11.161833332999947
2877,Barragem 1,0.65,V < 3 hm³,8,h < 10 m,8,CRISTALINA,GO,Irrigação,,SECIMA/GO,"17º08'31.0""S","47º30'28.0""W",Não Classificado,Não Classificado,-17.142,-47.508,539,-47.50799999999998,-17.14199999999994
2876,Barragem 4,0.092,V < 3 hm³,11,10 m < h < 15 m,11,CRISTALINA,GO,Irrigação,,SECIMA/GO,"17º01'15.0""S","47º35'42.0""W",Não Classificado,Não Classificado,-17.021,-47.595,533,-47.59499999999997,-17.020999999999958
2874,Barragem 8,0.2,V < 3 hm³,7,h < 10 m,7,CRISTALINA,GO,Irrigação,,SECIMA/GO,"16º58'22.0""S","47º35'42.0""W",Não Classificado,Não Classificado,-16.973000000000003,-47.595,529,-47.59499999999997,-16.972999999999956
2873,Barragem Gilberto Gasperi 2,0.15,V < 3 hm³,11,10 m < h < 15 m,11,CRISTALINA,GO,Irrigação,,SECIMA/GO,"17º01'41.0""S","47º23'10.0""W",Não Classificado,Não Classificado,-17.0281111111,-47.3863611111,534,-47.386361110999985,-17.02811111099993
2871,Barragem Gilberto Gasperi,0.634,V < 3 hm³,14,10 m < h < 15 m,12,CRISTALINA,GO,Irrigação,,SECIMA/GO,"17º04'27.0""S","47º22'56.0""W",Não Classificado,Não Classificado,-17.0744444444,-47.3823611111,537,-47.382361110999966,-17.074444443999937
2869,ATS - Nova Recife ,0.011000000000000001,V < 3 hm³,3.5,h < 10 m,3.5,SILVANÓPOLIS,TO,Dessedentação Animal,,Naturatins,"11º08'43.0""S","48º10'19.0""W",Não Classificado,Não Classificado,-11.1452777778,-48.1722222222,904,-48.17222222199996,-11.14527777799998
2868,Barragem 01,0.309,V < 3 hm³,12,h < 10 m,10,CRISTALINA,GO,Irrigação,,SECIMA/GO,"16º55'58.0""S","47º38'56.0""W",Não Classificado,Não Classificado,-16.933,-47.649,528,-47.648999999999944,-16.932999999999936
2867,Barragem 02,0.317,V < 3 hm³,10,h < 10 m,8,CRISTALINA,GO,Irrigação,,SECIMA/GO,"16º55'37.0""S","47º39'7.0""W",Não Classificado,Não Classificado,-16.927,-47.652,527,-47.65199999999993,-16.926999999999964
2865,BARRAGEM TONICO GUIMARÃES ,0.017,V < 3 hm³,4,h < 10 m,4,ABREULÂNDIA,TO,Dessedentação Animal,,Naturatins,"09º40'39.0""S","48º57'38.0""W",Não Classificado,Não Classificado,-9.6775833333,-48.9606666667,887,-48.96066666699994,-9.677583332999973
2863,Barragem B1,0.27,V < 3 hm³,10,h < 10 m,8,CRISTALINA,GO,Irrigação,,SECIMA/GO,"16º24'25.0""S","47º34'4.0""W",Não Classificado,Não Classificado,-16.407138888899997,-47.568000000000005,643,-47.567999999999984,-16.407138888999953
2862,Barragem B3,1.0570000000000002,V < 3 hm³,11,h < 10 m,9,CRISTALINA,GO,Irrigação,,SECIMA/GO,"16º25'45.0""S","47º33'51.0""W",Não Classificado,Não Classificado,-16.429277777800003,-47.5643055556,644,-47.564305555999965,-16.42927777799997
2861,Barragem 3 Arcide Fontanella,0.274,V < 3 hm³,9,h < 10 m,7,CRISTALINA,GO,Irrigação,,SECIMA/GO,"17º10'54.0""S","47º35'3.0""W",Não Classificado,Não Classificado,-17.18175,-47.5841666667,544,-47.58416666699998,-17.181749999999965
2455,RIACHO DE PEDRAS,8,3 hm³ < V < 75 hm³,,15 m < h < 30 m,26.5,CORURIPE,AL,Irrigação, ,SEMARH/AL,"10º01'21.0""S","36º17'16.0""W",Não Classificado,Não Classificado,-10.0226388889,-36.2880277778,962,-36.28802777799996,-10.02263888899995
2453,PARANÁ,4.5,3 hm³ < V < 75 hm³,,10 m < h < 15 m,14,CORURIPE,AL,Irrigação,,Sem Informação,"10º07'47.0""S","36º16'22.0""W",Não Classificado,Não Classificado,-10.1298055556,-36.273,766,-36.27299999999997,-10.129805555999951
2449,NOVO PATROCÍNIO,0.015000000000000001,V < 3 hm³,,h < 10 m,3,ATALAIA,AL,Irrigação,,SEMARH/AL,"09º31'31.0""S","36º04'39.0""W",Não Classificado,Não Classificado,-9.5254444444,-36.0775277778,958,-36.07752777799993,-9.525444443999959
2860,Barragem Goyas Britas,0.003,V < 3 hm³,5.5,h < 10 m,5.5,CATALÃO,GO,Industrial,,SECIMA/GO,"17º54'20.0""S","47º46'40.0""W",Não Classificado,Não Classificado,-17.905749999999998,-47.7779166667,564,-47.77791666699994,-17.905749999999955
2859,Barragem Agromen,1.0510000000000002,V < 3 hm³,5,h < 10 m,5,IPAMERI,GO,Irrigação,,SECIMA/GO,"17º10'58.0""S","47º40'33.0""W",Não Classificado,Não Classificado,-17.1830277778,-47.6759444444,545,-47.67594444399998,-17.18302777799994
2852,BARRAGEM DA TILAPIA,53.410000000000004,3 hm³ < V < 75 hm³,8,h < 10 m,8,DIVINÓPOLIS DO TOCANTINS,TO,Aquicultura,,Naturatins,"09º44'1.0""S","48º57'36.0""W",Não Classificado,Não Classificado,-9.7337777778,-48.96,888,-48.95999999999998,-9.733777777999933
2851,Barragem Helio Benicio,0.34,V < 3 hm³,10.5,h < 10 m,5.5,CATALÃO,GO,Irrigação,,SECIMA/GO,"18º00'56.0""S","47º25'.0""W",Não Classificado,Não Classificado,-18.0158333333,-47.4167222222,265,-47.416722221999976,-18.015833332999932
